,upc,department,product_name,crv_by_05_cents,sell_price,size,upce,has_crv,has_sugar_tax,has_sales_tax,sugar_tax,contains_promotion,img
1546,499912790015,Fresh Produce,Org. Fuji Apl,1.0,1.59,,0,False,False,False,0,False,
1592,12000004520,Teas/coffees,Starbucks Frappuccino Mocha,1.0,4.94,13.70 OZ,01245200,True,False,False,0,False,
1595,12000028458,Teas/coffees,Starbucks Doubleshot:Mocha,1.0,4.94,15.00 FL OZ,01284508,True,False,False,0,False,https://pics.drugstore.com/prodimg/416894/450.jpg
1601,12000813313,Teas/coffees,Starbucks Frappuccino Vanilla,1.0,4.94,"=""13.7""",01233103,True,False,False,0,False,
1644,13562000043,Food,Annie's Homegrown: Shells White Cheddar,1.0,3.49,6 oz,,False,False,False,0,False,
1645,13562000456,Food,Annie's Homegrown:Original Mac & Cheese (Blue),1.0,3.49,6 oz,,False,False,False,0,False,
1648,13562300600,Food,Annie's Homegrown:Bunny Pasta & Cheese,1.0,3.49,6 oz,,False,False,False,0,False,
1649,13562300624,Food,Annie's Homegrown:Family Size: Shells White Cheddar,1.0,4.99,10.5 oz,,False,False,False,0,False,
1652,13562300846,Food,Annie's Homegrown:Shells Aged Wisconsin Chedder (Orange),1.0,3.49,6 oz,,False,False,False,0,False,https://pics.drugstore.com/prodimg/226920/450.jpg
1800,16291441026,Food,Star anise ,1.0,10.99,,01610226,False,False,False,0,False,https://i5.walmartimages.com/asr/61a4571f-c15c-47b5-9869-9eac024efd57_1.29175423f4ef660db439ac5ba324bab1.xhtml+xml?odnHeight=450&odnWidth=450&odnBg=ffffff
1959,22000014719,Candies/Bars/Gum,Wrigley's 5 RPM Mint,1.0,1.99,15 ct,02247109,False,False,False,0,False,https://i5.walmartimages.com/asr/cc8330ef-9e38-4c27-87e3-78134bc98c16_1.16dd79ba9b1f9bb852b468e8c5f9f776.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff
1960,22000015532,Candies/Bars/Gum,5 Wintermint Ascent,1.0,1.79,1.00 Ct,02255302,False,False,False,0,False,
1961,22000016690,Candies/Bars/Gum,5 Sour Strawberry Flood,1.0,1.79,15 ct,02266900,False,False,False,0,False,
1966,22000076038,Candies/Bars/Gum,5 Mystery Mint,1.0,1.99,15 cts,02260308,False,False,False,0,False,
1968,22000117014,Candies/Bars/Gum,Wrigley's 5 React 2 Mint,1.0,1.99,15 ct,02270104,False,False,False,0,False,
2063,27271112287,Food,Brianna's:Rich Poppy Seed,1.0,4.69,12 oz,02722827,False,False,False,0,False,
2064,27271113284,Food,Brianna's:Champagne Vinaigrette,1.0,4.69,12 oz,02732824,False,False,False,0,False,
2139,28400064088,Food,Tostitos:Scoops!,1.0,4.79,10.00 OZ,,False,False,False,0,False,
2153,28400147392,Chips,Sun Chips Harvest Cheddar,1.0,3.59,7 oz,,False,False,False,0,False,https://pics.drugstore.com/prodimg/562014/450.jpg
2155,28400147415,Chips,Sun Chips:Original,1.0,3.59,7.00 OZ,,False,False,False,0,False,
2239,28400516310,Chips,Dorito:Cool Ranch,1.0,4.79,9oz,,False,False,False,0,False,
2240,28400516464,Chips,Dorito,1.0,4.79,9oz,,False,False,False,0,False,https://products.blains.com/600/42/428711.jpg
2241,28400516471,Chips,Doritos,1.0,4.79,9oz,,False,False,False,0,False,
2243,28400516853,Chips,Ruffles: Sour cream,1.0,4.79,8oz,,False,False,False,0,False,
2246,28400517942,Chips,Tostitos: hint of lime,1.0,4.79,,,False,False,False,0,False,
2257,28400589284,Chips,Fritos Chill Cheese,1.0,4.49,big,,False,False,False,0,False,
2260,28400589864,Chips,Cheetos Crunchy,1.0,4.49,8.5 Oz,,False,False,False,0,False,
2598,39978009401,Food,Bob's Red Mill:Organic Flaxseed Meal Golden,1.0,6.25,16 oz,,False,False,False,0,False,
2656,39978032324,Food,Bob's Red Mill:Golden Flaxseed Meal ,1.0,4.99,16 oz,,False,False,False,0,False,
2670,39978041401,Food,Bob's Red Mill:Oats Steel Cut ,1.0,4.69,24 oz,,False,False,False,0,False,
2714,40000006039,Candies/Bars/Gum,"3 Musketeers:Bar, King Size",1.0,2.29,2.00 EA,04060309,False,False,False,0,False,
2733,40822011143,Food,Sabra:Classic Hummus,1.0,5.29,10.00 OZ,,False,False,False,0,False,
2734,40822011242,Food,Sabra:Roasted Garlic Hummus,1.0,5.29,10.00 OZ,,False,False,False,0,False,
2735,40822011549,Food,Sabra:Roasted Red Pepper Hummus,1.0,5.29,10.00 OZ,,False,False,False,0,False,
2736,40822011747,Food,"Sabra:Hummus, with Roasted Pine Nuts",1.0,5.29,10.00 OZ,,False,False,False,0,False,
2798,41390000027,Food,Kikkoman:Soy Sauce,1.0,4.39,10.00 FL OZ,04139247,False,False,False,0,False,
2800,41390001055,Food,Kikkoman:Less Sodium,1.0,4.39,10.00 FL OZ,,False,False,False,0,False,
2835,41570109083,Food,Blue Diamond: Nut Thins- Flaxseed,1.0,4.19,4.25 oz,,False,False,False,0,False,
2836,41570109090,Food,Blue Diamond:Artisian Nut Thins- Sesame Seed,1.0,4.19,4.25 oz,,False,False,False,0,False,
3040,46100001233,Cheese,Sargento: Provolone Thin Slice,1.0,7.99,8.00 OZ,04612313,False,False,False,0,False,
3084,50000560240,Dairy,Nestle Coffee-Mate Liquid:Hazelnut Pantry Pack,1.0,3.69,16.00 FL OZ,05002400,False,False,False,0,False,
3261,70569210400,Food,Bahlsen:Waffeletten Dark Chocolate,1.0,4.69,100g,,False,False,False,0,False,
3263,70569291409,Food,Bahlsen:Leibniz Dark Chocolate,1.0,4.69,125g,,False,False,False,0,False,
3264,70569336209,Food,Bahlsen:Afrika Dark Chocolate,1.0,5.49,125g,,False,False,False,0,False,
3276,70617206126,Food,Shredded:Shredded Oats Original,1.0,6.59,14.00 OZ,,False,False,False,0,False,
3449,72830005517,Dairy,Tillamook:Medium Cheddar,1.0,5.49,8.00 OZ,,False,False,False,0,False,
3450,72830005524,Cheese,Tillamook:Sharp Cheddar,1.0,5.49,8.00 OZ,,False,False,False,0,False,
3451,72830005531,Dairy,Tillamook:Monterey Jack,1.0,5.49,8.00 OZ,,False,False,False,0,False,
3452,72830005548,Dairy,Tillamook:Pepper Jack,1.0,5.49,8.00 OZ,,False,False,False,0,False,
3464,73007101162,Food,Colmb: Italian Dry Salami,1.0,12.99,32oz,07311602,False,False,False,0,False,
3616,75810021255,Food,San-J Tamari Brw Soya,1.0,4.39,10.00 OZ,,False,False,False,0,False,
3618,75810041253,Food,San-J:Organic Shoyu,1.0,4.69,10.00 OZ,,False,False,False,0,False,
3625,76183003107,Teas/coffees,Snapple Kiwi Strawberry,1.0,2.29,16 0z,,True,False,False,0,False,
3626,76183003114,Teas/coffees,Snapple Peach Tea,1.0,2.29,16 oz,,True,False,False,0,False,
3627,76183003121,Teas/coffees,Snapple Mango Madness,1.0,2.29,16.00 FL OZ,,True,False,False,0,False,
3629,76183003152,Teas/coffees,Snapple Lemon,1.0,2.29,,,True,False,False,0,False,
3632,76183003299,Teas/coffees,Snapple Pink Lemonade,1.0,2.29,16oz,,True,False,False,0,False,
3633,76183003305,Teas/coffees,Snapple Mango Tea,1.0,2.29,16 oz,,True,False,False,0,False,
3634,76183007006,Teas/coffees,Snapple,1.0,2.29,,,True,False,False,0,False,
3635,76183323564,Teas/coffees,Snapple Peach Tea,2.0,3.29,32.00 OZ,,True,False,False,0,False,
3636,76183323632,Teas/coffees,Snapple Kiwi Strawberry,2.0,3.29,32.00 OZ,,True,False,False,0,False,
3637,76183323649,Teas/coffees,Snapple Mango Madness,2.0,3.29,32.00 OZ,,True,False,False,0,False,
3638,76183323724,Teas/coffees,Snapple Fruit Punch,2.0,3.29,32.00 OZ,,True,False,False,0,False,
3639,76183328507,Teas/coffees,Snapple Apple,2.0,3.29,32 oz,,True,False,False,0,False,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png
3966,88702882414,Food,Bonne Maman:Intense: Blueberry  ,1.0,5.59,8.2oz,,False,False,False,0,False,
4053,96619032938,Food,Kirkland Organic Raw Honey,1.0,8.49,680 g,,False,False,False,0,False,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png
4061,96619140428,Frozen Food,Strawberries,1.0,16.99,,,False,False,False,0,False,
4062,96619140466,Food,Org. Blueberry,1.0,13.99,,,False,False,False,0,False,
4064,96619174010,Food,KS 3 Berry,1.0,19.99,,,False,False,False,0,False,
4211,643126971962,Fresh Produce,Bananas,1.0,4.49,,0,False,False,False,0,False,
4721,807176712467,Food,Beef bulgogi,1.0,16.99,,0,False,False,False,0,False,
4916,850011381007,Food,Country archer fuego,1.0,7.19,2.5oz,0,False,False,False,0,False,
4919,850011381335,Food,Country Archer: Original,1.0,7.19,,0,False,False,False,0,False,
4987,853016002083,Food,Country Archer:Beef Jerky: Sweet Jalapeno  ,1.0,7.19,3oz,0,False,False,False,0,False,
4988,853016002250,Food,Beef Jerky Original,1.0,7.19,,0,False,False,False,0,False,
